Name,Description,IsOwnBank,RoutingNo,SwiftCode,C_Bank>C_Location>City,C_Bank>C_Location>Postal,C_Bank>C_Location>C_Country_ID[Name]
Commerzbank Waldkraiburg,Commerzbank,N,71142041,COBADEFF712,Waldkraiburg,84465,Germany - Deutschland
Spk Rosenheim-Bad Aibling,Sparkasse Rosenheim-Bad Aibling,N,71150000,BYLADEM1ROS,"Rosenheim, Oberbay",83004,Germany - Deutschland
Spk Altötting-Mühldorf,Sparkasse Altötting-Mühldorf,N,71151020,BYLADEM1MDF,Mühldorf a. Inn,84445,Germany - Deutschland
Kr Spk Bad Aibling -alt-,Kreissparkasse Bad Aibling -alt-,N,71151240,BYLADEM1BAB,Bad Aibling,83043,Germany - Deutschland
Kr Spk Miesbach-Tegernsee,Kreissparkasse Miesbach-Tegernsee,N,71152570,BYLADEM1MIB,Miesbach,83711,Germany - Deutschland
Kr u St Spk Wasserburg,Kreis- und Stadtsparkasse Wasserburg,N,71152680,BYLADEM1WSB,Wasserburg a. Inn,83504,Germany - Deutschland
VB RB Mangfalltal-Rosenheim,Volksbank Raiffeisenbank Mangfalltal-Rosenheim,N,71160000,GENODEF1VRR,"Rosenheim, Oberbay",83022,Germany - Deutschland
VR Bank Rosenheim-Chiemsee,VR Bank Rosenheim-Chiemsee,N,71160161,GENODEF1ROR,"Rosenheim, Oberbay",83006,Germany - Deutschland
VB-Raiffbk Chiemsee -alt-,Volksbank-Raiffeisenbank Chiemsee -alt-,N,71161964,GENODEF1PRV,Prien a. Chiemsee,83209,Germany - Deutschland
Raiffeisenbank Oberaudorf,Raiffeisenbank Oberaudorf,N,71162355,GENODEF1OBD,Oberaudorf,83080,Germany - Deutschland
Raiffbk Aschau-Samerberg,Raiffeisenbank Aschau-Samerberg,N,71162804,GENODEF1ASU,Aschau i. Chiemgau,83226,Germany - Deutschland
Raiffeisenbank Mangfal-alt-,Raiffeisenbank Mangfalltal -alt-,N,71165150,GENODEF1AIB,Bad Aibling,83043,Germany - Deutschland
Commerzbank Rosenheim,Commerzbank vormals Dresdner Bank,N,71180005,DRESDEFF711,"Rosenheim, Oberbay",83011,Germany - Deutschland
Volksbank Rosenheim -alt-,Volksbank Rosenheim -alt-,N,71190000,GENODEF1ROV,"Rosenheim, Oberbay",83022,Germany - Deutschland
VR-Bank Burghausen-Mühldorf,VR-Bank Burghausen-Mühldorf,N,71191000,GENODEF1MUL,Mühldorf a. Inn,84453,Germany - Deutschland
BBk Augsburg,Bundesbank,N,72000000,MARKDEF1720,"Augsburg, Bay",86136,Germany - Deutschland
SEB Augsburg,SEB,N,72010111,ESSEDE5F720,"Augsburg, Bay",86150,Germany - Deutschland
BTV Zndl Deutschland,Bank für Tirol und Vorarlberg Deutschland,N,72012300,BTVADE61XXX,Memmingen,87700,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,72020070,HYVEDEMM408,"Augsburg, Bay",86002,Germany - Deutschland
UniCredit exHypo Ndl677Agsb,UniCredit Bank - HypoVereinsbank Ndl 677 Agsb,N,72020240,HYVEDEM1102,Aschheim,85609,Germany - Deutschland
Augsburger Aktienbank,Augsburger Aktienbank,N,72020700,AUGBDE77XXX,"Augsburg, Bay",86150,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,72021271,HYVEDEMM236,Aichach a d Paar,86543,Germany - Deutschland
UniCredit Bank-HypoVereinbk,UniCredit Bank - HypoVereinsbank,N,72021876,HYVEDEMM259,Günzburg,89305,Germany - Deutschland
Fürst Fugger Privatbk Augsb,Fürst Fugger Privatbank,N,72030014,FUBKDE71XXX,"Augsburg, Bay",86006,Germany - Deutschland
Bankhaus Anton Hafner,Bankhaus Anton Hafner,N,72030227,ANHODE77XXX,"Augsburg, Bay",86150,Germany - Deutschland
Commerzbank Augsburg,Commerzbank,N,72040046,COBADEFF720,"Augsburg, Bay",86150,Germany - Deutschland
St Spk Augsburg,Stadtsparkasse Augsburg,N,72050000,AUGSDE77XXX,"Augsburg, Bay",86135,Germany - Deutschland
Kr Spk Augsburg,Kreissparkasse Augsburg,N,72050101,BYLADEM1AUG,"Augsburg, Bay",86009,Germany - Deutschland
St Spk Aichach,Stadtsparkasse Aichach,N,72051210,BYLADEM1AIC,Aichach a d Paar,86542,Germany - Deutschland
Spk Günzburg-Krumbach,Sparkasse Günzburg-Krumbach,N,72051840,BYLADEM1GZK,Günzburg,89304,Germany - Deutschland
Handels- u Gewbk Augsb-alt-,Handels- und Gewerbebank Augsburg -alt-,N,72060300,GENODEF1A03,"Augsburg, Bay",86063,Germany - Deutschland
